pronun_list,word
포인트,point
포크,fork
포털,portal
포토,photo
폰,phone
폴란드,Poland
퓨전,fusion
프라이팬,frypan
프랑스,France
프랜차이즈,franchise
프러포즈,propose
프로,pro
프로그래머,programmer
프로그램,program
프로듀서,producer
프로젝트,project
프린터,printer
플라스틱,plastic
플러그,plug
플러스,plus
피라미드,pyramid
피망,piment
피아노,piano
피자,pizza
핀,pin
필름,film
필터,filter
하트,heart
하프,harp
해킹,hacking
핸드백,handbag
핸드볼,handball
햄,ham
햄버거,hamberger
허브,herb
헬멧,helmet
호텔,hotel
호프,Hof
홈페이지,homepage
휠체어,wheelchair
히트,hit
카톡,Kakaotalk
파파고,Papago
밴드,Band
홈택스,Hometax
다쿠아즈,Dacquoise
마들렌,madeleine
메로나,Melona
베이글,bagel
스프라이트,Sprite
슬라임,slime
아인슈페너,einspanner
치아바타,ciabatta
파니니,panini
페스토,Pesto
프라푸치노,frappuccino
피낭시에,financier
맥북,MacBook
아이패드,iPad
아이폰,iPhone
에어팟,AirPods
인덕션,induction
비트코인,Bitcoin
러블리즈,Lovelyz
마마무,MAMAMOO
블랙핑크,BLACKPINK
비티에스,BTS
빅뱅,BIGBANG
싸이,PSY
피에스와이,PSY
아델,Adele
아이유,IU
에일리,Ailee
엑소,EXO
자이언티,ZionT
지코,ZICO
콜드플레이,Coldplay
트와이스,Twice
구글,Google
구찌,Gucci
까르띠에,Cartier
나이키,Nike
네스카페,Nescafe
네스프레소,Nespresso
네이버,Naver
넷플릭스,Netflix
노키아,Nokia
닌텐도,Nintendo
델,Dell
디올,Dior
디즈니,Disney
레고,Lego
로레알,LOreal
롤렉스,Rolex
롯데,Lotte
마이크로소프트,Microsoft
맥도날드,McDonalds
비엠더블유,BMW
빕스,VIPS
샤넬,Chanel
샤오미,Xiaomi
서브웨이,Subway
셀트리온,Celltrion
소니,Sony
스타벅스,Starbucks
씨제이,CJ
시제이,CJ
아디다스,Adidas
아마존,Amazon
아우디,Audi
아웃백,Outback
아이비엠,IBM
애플,Apple
야후,Yahoo
업비트,Upbeat
에르메스,Hermes
엘지,LG
옥션,Auction
왓챠,Watcha
유튜브,Youtube
이베이,ebay
이스타,EastarJet
이케아,IKEA
인스타그램,Instagram
인텔,Intel
자라,Zara
지에스,GS
진에어,JinAir
질레트,Gillette
카카오,Kakao
캐논,Canon
케이에프씨,KFC
케이티,KT
쿠팡,Coupang
테슬라,Tesla
토요타,Toyota
트위치,Twitch
트위터,Twitter
파나소닉,Panasonic
페이스북,Facebook
포스코,Posco
폭스바겐,Volkswagen
핀터레스트,Pinterest
필립스,Phillips
데스파시토,Despacito
블루밍,Blueming
스피치리스,Speechless
아로하,Aroha
에너제틱,Energetic
하바나,Havana
핸드클랩,HandClap
미니언즈,Minions
스카이폴,Skyfall
써니,Sunny
아바타,Avatar
아쿠아맨,Aquaman
알라딘,Aladdin
인셉션,Inception
인크레더블,Incredibles
인터스텔라,Interstellar
조커,Joker
주토피아,Zootopia
타이타닉,Titanic
트랜스포머,Transformers
트와일라잇,Twilight
가십걸,Gossipgirl
셜록,Sherlock
스토브리그,Stoveleague
시그널,Signal
프렌즈,Friends
디아블로,Diablo
리니지,Lineage
마인크래프트,Minecraft
그리드,grid
그리스,Greece
그린란드,Greenland
글램핑,glamping
글러브,glove
글로켄슈필,Glockenspiel
글루코사민,glucosamine
글루텐,gluten
글리세린,glycerin
기가,giga
나노,nano
나르시시즘,narcissism
나이로비,Nairobi
나이프,knife
나일론,nylon
나폴레옹,Napoleon
나폴리,Napoli
나프탈렌,naphthalene
내레이터,narrator
너트,nut
네덜란드,Netherlands
네뷸라이저,nebulizer
네블라이저,nebulizer
네트,net
네티켓,netiquette
네팔,Nepal
노르웨이,Norway
노미네이트,nominate
다트,dart
닥스훈트,Dachshund
달마티안,Dalmatian
댈러스,Dallas
더비,Derby
더빙,dubbing
덤핑,dumping
데드,dead
데드라인,deadline
데생,dessin
데이비스,Davis
데이지,daisy
데카르트,Descartes
데칼코마니,decalcomanie
덴마크,Denmark
덴버,Denver
델리,Delhi
델타,delta
델포이,Delphoe
도르트문트,Dortmund
도메인,domain
도미니카,Dominica
도킹,docking
도파민,dopamine
도핑,doping
도하,Doha
두랑고,Durango
두리안,durian
두바이,Dubai
뒤샹,Duchampl
듀공,dugong
듀스,deuce
듀엣,duet
듀오,duo
발로란트,Valorant
배그,Battleground
사이퍼즈,Cyphers
스타,Starcraft
아이온,Aion
옵치,Overwatch
워크,Warcraft
카트,Kartrider
테트리스,Tetris
포켓몬,Pokemon
가나,Ghana
가닛,garnet
가드,guard
가드닝,gardening
가솔린,gasoline
가젤,gazelle
갭,gap
게르마늄,Germanium
게리맨더링,gerrymandering
게릴라,guerrilla
게이트,gate
게티즈버그,Gettysburg
고딕,Gothic
고릴라,gorilla
골키퍼,goalkeeper
공구리,concrete
콘크리트,concrete
과테말라,Guatemala
그라운드,ground
그라인딩,grinding
그라피티,graffiti
그래피티,graffiti
그램,gram
그러데이션,gradation
그라데이션,gradation
그레이하운드,greyhound
그로기,groggy
그리니치,Greenwich
고,go
고글,goggles
곤돌라,gondola
골드,gold
골든디스크,goldendisk
골퍼,golfer
그래스,grass
그래픽,graphic
그레이,Gray
그레이프,grape
그룹,group
그린벨트,greenbelt
그릴,grill
글라스,glass
글로벌,global
기어,gear
기타리스트,guitarist
껌,gum
나그랑,Raglan
나이스,nice
나이트,night
나이트클럽,nightclub
나치즘,Nazism
나트랑,NhaTrang
난센스,nonsense
넌센스,nonsense
내러티브,narrative
내프킨,napkin
냅킨,napkin
넘버,number
네고,nego
네크라인,neckline
네트워킹,networking
네티즌,netizen
넥,neck
넥타,nectar
넥타이,necktie
노멀,normal
노스탤지어,nostalgia
노즈,nose
노트북,notebook
논스톱,nonstop
누가,nougat
누들,noodle
체크,check
체크카드,checkcard
초콜릿,chocolate
추리닝,training
트레이닝,training
치즈,cheese
치킨,chicken
치킨라이스,chickenrice
카나페,canape
카디건,cardigan
가디건,cardigan
카레,curry
커리,curry
카망베르,camembert
카메라맨,cameraman
카세트,cassette
카스텔라,castela
카우보이,cowboy
카운셀러,counsellor
카운슬링,counseling
카운터,counter
카운트다운,countdown
카지노,casino
카키,khaki
카탈로그,catalog
카툰,cartoon
카페,cafe
카페테리아,cafeteria
카피,copy
카피라이터,copywriter
카피레프트,copyleft
칵테일,cocktail
칼라,collar
칼럼,column
칼럼니스트,columnist
캐러멜,caramel
카라멜,caramel
캐럴,carol
캐비닛,cabinet
캐비아,caviar
캐비어,caviar
캐셔,cashier
캔,can
캔디,candy
캘린더,calendar
캠코더,camcorder
캠퍼스,campus
캠페인,campaign
캠프,camp
캠프파이어,campfire
캠핑,camping
캠핑카,campingcar
캡슐,capsule
커넥션,connection
커닝,cunning
컨닝,cunning
커리어,career
커뮤니케이션,communication
커스터드,custard
커스터마이징,customizing
커트,cut
컷,cut
커틀릿,cutlet
커프스,cuffs
커플,couple
커피,coffee
커피포트,coffeepot
컨디션,condition
컨버전,conversion
컨셉,concept
컨테이너,container
컨펌,confirm
컬,curl
컬래버레이션,collaboration
콜라보레이션,collaboration
컬러,color
컬러링,coloring
컬렉션,collection
컴백,comeback
컴퍼스,compass
콤파스,compass
컴퓨터게임,computergame
컴퓨터바이러스,computervirus
컵케이크,cupcake
케이스,case
케이지,cage
케이크,cake
케첩,ketchup
케찹,ketchup
코너킥,cornerkick
코듀로이,corduroy
코디,coordination
코디네이션,coordination
코디네이터,coordinator
코르크,cork
콜크,cork
코멘테이터,commentator
코멘트,comment
코믹,comic
코즈메틱,cosmetic
코코아,cocoa
코트,coat
코튼,cotton
콘도,condo
콘돔,condom
콘테스트,contest
콤팩트,compact
컴팩트,compact
콩쿠르,concours
퀴즈,quiz
큐시트,cuesheet
크래커,cracker
크로켓,croquette
크루아상,croissant
크루저,cruiser
크리스마스실,Christmasseal
크리스마스캐럴,Christmascarol
크리스마스트리,Christmastree
크림,cream
리라,lyra
리메이크,remake
리무버,remover
리버풀,Liverpool
리베이트,rebate
리부팅,rebooting
리비에라,Riviera
리사이클링,recycling
리사이틀,recital
리셋,reset
리스,lease
리시브,receive
리얼리즘,realism
리코더,recorder
리콜,recall
리턴,return
리튬,lithium
리트머스,litmus
릴레이,relay
링,ring
링거,Ringer
마그네슘,magnesium
마그넷,magnet
마그마,magma
마리아,Maria
마리오네트,marionette
마림바,marimba
마블,marble
마블링,marbling
마우스피스,mouthpiece
마이너,minor
마이너스,minus
마이애미,Miami
마임,mime
마젠타,magenta
마카오,Macao
마터호른,Matterhorn
마하,Mach
만다린,mandarin
말라리아,malaria
말레이시아,Malaysia
망고,mango
매머드,mammoth
매크로,macro
매트,mat
맨체스터,Manchester
맨틀,mantle
맨해튼,Manhattan
마더보드,motherboard
머스캣,muscat
머스크,musk
머스크멜론,muskmelon
머플러,muffler
멀티태스킹,multitasking
멀티플렉스,multiplex
메가바이트,megabyte
베이스,base
베이스,bass
베이스라인,baseline
베이지,beige
드라이버,driver
드라이어,dryer
드라큘라,Dracula
드래그,drag
드래프트,draft
드레싱,dressing
드로잉,drawing
드론,drone
드롭,drop
드리블,dribble
드리프트,drift
드릴,drill
드뷔시,Debussy
디스토피아,dystopia
디스펜서,dispenser
디오니소스,Dionysos
디젤,Diesel
디코더,decoder
디킨스,Dickens
디테일,detail
디톡스,detox
디트로이트,Detroit
디펜스,defence
디퓨저,diffuser
디플레이션,deflation
딜러,dealer
딜레마,dilemma
딩고,dingo
라돈,radon
로터리,rotary
로테이션,rotation
로프웨이,ropeway
록,rock
루브르,Louvre
루비,ruby
루트,root
루프,loop
룩셈부르크,Luxemburg
류마티스,Rheumatismus
르포,reportage
리그,league
리넨,linen
리드,lead
풀,pool
가든,garden
베타테스터,betatester
벡터,vector
벤드,bend
부탄가스,butanegas
불가리아,Bulgaria
불도그,bulldog
불도저,bulldozer
불로뉴,Boulogne
가라오케,karaoke
가스,gas
가스라이팅,gaslighting
가스보일러,gasboiler
가스탱크,gastank
가십,gossip
가운,gown
가이드,guide
가터벨트,garterbelt
갈릭,garlic
개그,gag
개그맨,gagman
개그우먼,gagwoman
개런티,guarantee
갤런,gallon
갱,gang
거들,girdle
거즈,gauze
건,gun
걸리버,Gulliver
게스트,guest
게이,gay
불펜,bullpen
뷰,view
뷰렛,burette
뷰어,viewer
뷰파인더,viewfinder
브라스,brass
브라우니,brownies
브라우저,browser
브라질리아,Brasilia
브래킷,bracket
브라켓,bracket
브러시,brush
브러쉬,brush
브런치,brunch
브레이크,brake
브로드웨이,Broadway
브로마이드,bromide
브로커,broker
브로콜리,broccoli
브루나이,Brunei
브루클린,Brooklyn
브뤼셀,Brussel
브르노,Brno
브리스틀,Bristol
브리즈번,Brisbane
브리핑,briefing
블라디보스토크,Vladivostok
블랙마켓,blackmarket
블랙박스,blackbox
블랙베리,blackberry
블랙아웃,blackout
블레이드,blade
블로그,blog
블로커,blocker
블로킹,blocking
블록,block
블록체인,blockchain
블루베리,blueberry
블루스,blues
블루종,blouson
블리자드,blizzard
비,B
비글,beagle
비너스,Venus
비드,Bede
비브라토,vibrato
서버,server
서브,serve
서브타이틀,subtitle
서핑,surfing
선베드,sunbed
선팅,sunting
썬팅,sunting
섬네일,thumbnail
썸네일,thumbnail
세레나데,serenade
세미파이널,semifinal
세부,Cebu
세팅,setting
센서,sensor
셀러리,celery
셔링,shirring
셔터,shutter
셔틀콕,shuttlecock
셔플,shuffle
셰퍼드,shepherd
소나타,sonata
소나티네,sonatine
소렌토,Sorrento
소말리아,Somalia
소치,Sochi
소켓,socket
소트,sort
소팅,sorting
솔리스트,soliste
쇼크,shock
숏,shot
샷,shot
술탄,sultan
슈팅,shooting
슈퍼컴퓨터,supercomputer
슛,shoot
슈트,shoot
스냅숏,snapshot
스노모빌,snowmobile
스매시,smash
